session_country,iso3,page_views,num_sessions,num_users
Puerto Rico,PRI,187057.0,129841.0,113577.0
Marshall Islands,MHL,169.0,55.0,45.0
Mexico,MEX,8852106.0,6427582.0,5698308.0
Seychelles,SYC,508.0,273.0,247.0
Cook Islands,COK,92.0,81.0,78.0
Yemen,YEM,56868.0,46500.0,41460.0
Aruba,ABW,2638.0,1054.0,913.0
Azerbaijan,AZE,105100.0,84369.0,77709.0
Iran,IRN,53138.0,33593.0,30609.0
Guinea-Bissau,GNB,584.0,269.0,218.0
Saint Helena,SHN,3.0,3.0,3.0
Finland,FIN,16185.0,8941.0,7796.0
Guadeloupe,GLP,21252.0,4376.0,4002.0
Andorra,AND,121.0,97.0,92.0
Mali,MLI,5212.0,2204.0,1907.0
Ecuador,ECU,1758080.0,1349475.0,1164353.0
Denmark,DNK,5232.0,3166.0,2904.0
Burkina Faso,BFA,8813.0,1634.0,1393.0
Norfolk Island,NFK,20.0,4.0,2.0
Myanmar,MMR,45930.0,28780.0,28000.0
China,CHN,61098.0,23769.0,22210.0
Armenia,ARM,5701.0,2449.0,2034.0
Albania,ALB,7055.0,3229.0,2914.0
Romania,ROU,18093.0,7585.0,6835.0
Bahrain,BHR,3766.0,2602.0,2290.0
Burundi,BDI,4222.0,1063.0,922.0
Isle of Man,IMN,250.0,151.0,141.0
Costa Rica,CRI,591507.0,455132.0,389167.0
Guam,GUM,930.0,622.0,567.0
Philippines,PHL,202047.0,121472.0,109823.0
American Samoa,ASM,258.0,164.0,159.0
Antigua and Barbuda,ATG,862.0,456.0,414.0
New Zealand,NZL,53166.0,28741.0,25544.0
Saint Lucia,LCA,1672.0,758.0,694.0
British Virgin Islands,VGB,333.0,214.0,193.0
Zambia,ZMB,41864.0,18785.0,16924.0
Lithuania,LTU,7397.0,4094.0,3616.0
Tonga,TON,434.0,204.0,186.0
Serbia,SRB,4990.0,2769.0,2597.0
Turkmenistan,TKM,3454.0,2030.0,1837.0
San Marino,SMR,3.0,3.0,3.0
Palau,PLW,211.0,99.0,84.0
United Arab Emirates,ARE,46249.0,30785.0,27378.0
Ivory Coast,CIV,237606.0,74452.0,71431.0
Reunion,REU,45047.0,11787.0,11134.0
Sri Lanka,LKA,10924.0,6794.0,6273.0
Nepal,NPL,11401.0,5184.0,4783.0
Colombia,COL,5145681.0,3930904.0,3416518.0
Argentina,ARG,180202.0,127189.0,118010.0
Luxembourg,LUX,1979.0,1006.0,925.0
Poland,POL,87076.0,45489.0,40622.0
Mauritania,MRT,1694.0,1025.0,931.0
Latvia,LVA,7891.0,3346.0,2989.0
French Guiana,GUF,4009.0,1107.0,1015.0
Jordan,JOR,63139.0,49879.0,44385.0
Jamaica,JAM,10759.0,7436.0,6858.0
Iraq,IRQ,61916.0,45375.0,42269.0
Haiti,HTI,10485.0,2052.0,1814.0
Uganda,UGA,42231.0,17835.0,16014.0
Curacao,CUW,9331.0,6305.0,5638.0
Hungary,HUN,9915.0,4272.0,3830.0
Moldova,MDA,6848.0,2798.0,2154.0
Norway,NOR,56134.0,21935.0,18446.0
Georgia,GEO,9442.0,6395.0,5904.0
Greenland,GRL,713.0,442.0,362.0
North Macedonia,MKD,1138.0,647.0,596.0
Ethiopia,ETH,32104.0,8667.0,7664.0
Greece,GRC,10920.0,6401.0,5910.0
Nigeria,NGA,172454.0,93257.0,84959.0
Syria,SYR,14438.0,11323.0,9989.0
South Sudan,SSD,1937.0,942.0,873.0
India,IND,1318437.0,882364.0,826688.0
Comoros,COM,166.0,74.0,68.0
Japan,JPN,32256.0,15729.0,14465.0
Ukraine,UKR,72095.0,32007.0,29908.0
Barbados,BRB,6375.0,2454.0,2180.0
Uruguay,URY,50602.0,38624.0,34964.0
Angola,AGO,14627.0,7172.0,6180.0
Monaco,MCO,104.0,46.0,44.0
Cayman Islands,CYM,1013.0,600.0,506.0
Samoa,WSM,1358.0,391.0,348.0
Bolivia,BOL,26214.0,15768.0,14306.0
Afghanistan,AFG,5065.0,3188.0,2976.0
Bosnia and Herzegovina,BIH,12935.0,8357.0,7533.0
Peru,PER,2117009.0,1559286.0,1346851.0
Nauru,NRU,24.0,23.0,22.0
Saint Barthelemy,BLM,115.0,38.0,36.0
Saint Kitts and Nevis,KNA,315.0,258.0,247.0
Nicaragua,NIC,354290.0,263912.0,227106.0
Vanuatu,VUT,564.0,283.0,262.0
Mayotte,MYT,336.0,103.0,98.0
Thailand,THA,34553.0,13650.0,12401.0
Togo,TGO,16082.0,3517.0,3029.0
Honduras,HND,684983.0,498245.0,422584.0
Benin,BEN,21117.0,4466.0,3836.0
"Bonaire, Saint Eustatius and Saba ",BES,388.0,307.0,279.0
Timor Leste,TLS,1455.0,705.0,600.0
Austria,AUT,45440.0,24894.0,22470.0
Iceland,ISL,982.0,374.0,332.0
Panama,PAN,315126.0,224183.0,189925.0
Estonia,EST,1258.0,607.0,561.0
Turkey,TUR,4647878.0,3817395.0,3609122.0
Sint Maarten,SXM,632.0,399.0,344.0
Saint Pierre and Miquelon,SPM,2.0,1.0,1.0
United Kingdom,GBR,317878.0,162802.0,148380.0
Venezuela,VEN,1651130.0,1298629.0,1159066.0
Bhutan,BTN,1554.0,1000.0,948.0
Martinique,MTQ,15445.0,3857.0,3606.0
Maldives,MDV,518.0,254.0,232.0
Morocco,MAR,187268.0,164604.0,151410.0
Zimbabwe,ZWE,23028.0,6466.0,5812.0
Brunei,BRN,2815.0,1931.0,1661.0
Laos,LAO,9069.0,5945.0,5731.0
Namibia,NAM,7175.0,4030.0,3614.0
Paraguay,PRY,17374.0,10046.0,9130.0
Slovakia,SVK,54158.0,33755.0,30761.0
Brazil,BRA,583893.0,350971.0,316679.0
Egypt,EGY,327057.0,271252.0,253346.0
Western Sahara,ESH,8887.0,7461.0,6330.0
Mozambique,MOZ,15777.0,8720.0,7880.0
Micronesia,FSM,137.0,91.0,88.0
Equatorial Guinea,GNQ,33287.0,22997.0,19909.0
Montserrat,MSR,50.0,45.0,41.0
Liechtenstein,LIE,151.0,89.0,80.0
Spain,ESP,214160.0,151249.0,139847.0
Ireland,IRL,126186.0,118515.0,117902.0
Cambodia,KHM,15807.0,9902.0,9458.0
British Indian Ocean Territory,IOT,3.0,3.0,3.0
Niger,NER,2530.0,1148.0,1078.0
Liberia,LBR,7965.0,2412.0,2157.0
Northern Mariana Islands,MNP,132.0,103.0,97.0
Svalbard and Jan Mayen,SJM,3.0,3.0,3.0
Chile,CHL,1633803.0,1227498.0,1058639.0
Grenada,GRD,631.0,436.0,397.0
Mongolia,MNG,4656.0,1712.0,1526.0
Botswana,BWA,9133.0,2427.0,2140.0
Uzbekistan,UZB,4219.0,3057.0,2824.0
Dominica,DMA,314.0,236.0,226.0
Madagascar,MDG,10146.0,1959.0,1631.0
Kosovo,XKX,3403.0,2005.0,1901.0
Qatar,QAT,7340.0,5250.0,4785.0
Palestinian Territory,PSE,4466.0,3565.0,3081.0
Vietnam,VNM,56442.0,16423.0,15084.0
Macao,MAC,1064.0,740.0,664.0
Saint Martin,MAF,210.0,79.0,65.0
Gambia,GMB,2505.0,616.0,533.0
Papua New Guinea,PNG,7744.0,2843.0,2527.0
Russia,RUS,18140.0,10780.0,9959.0
Gabon,GAB,11506.0,2946.0,2610.0
Italy,ITA,29163.0,14892.0,13652.0
Kenya,KEN,83440.0,42802.0,38447.0
El Salvador,SLV,29350.0,17851.0,15751.0
Israel,ISR,11113.0,5707.0,5188.0
Solomon Islands,SLB,1769.0,376.0,334.0
Hong Kong,HKG,84766.0,51456.0,42824.0
Saint Vincent and the Grenadines,VCT,645.0,474.0,434.0
New Caledonia,NCL,6535.0,1781.0,1695.0
Indonesia,IDN,309219.0,106812.0,94098.0
Djibouti,DJI,1182.0,285.0,254.0
U.S. Virgin Islands,VIR,734.0,524.0,473.0
Bermuda,BMU,463.0,363.0,339.0
Belize,BLZ,3335.0,1871.0,1658.0
Rwanda,RWA,6920.0,2329.0,2091.0
Algeria,DZA,198001.0,166056.0,159491.0
Libya,LBY,11807.0,10140.0,9805.0
Fiji,FJI,9699.0,2123.0,1929.0
Tuvalu,TUV,5.0,5.0,5.0
Turks and Caicos Islands,TCA,428.0,276.0,261.0
Canada,CAN,265411.0,157206.0,141986.0
Czechia,CZE,7820.0,3456.0,3115.0
Senegal,SEN,14585.0,4200.0,3081.0
Kiribati,KIR,65.0,50.0,47.0
Cameroon,CMR,37367.0,10380.0,9211.0
Australia,AUS,189553.0,116077.0,105132.0
Lesotho,LSO,1983.0,1070.0,964.0
France,FRA,451775.0,138819.0,127780.0
Ghana,GHA,75960.0,31897.0,28362.0
Central African Republic,CAF,1369.0,289.0,262.0
Gibraltar,GIB,345.0,255.0,218.0
Democratic Republic of the Congo,COD,33860.0,6521.0,5879.0
Guinea,GIN,4889.0,948.0,826.0
United States,USA,6165704.0,3269157.0,2810207.0
Montenegro,MNE,2282.0,1569.0,1493.0
Cuba,CUB,15896.0,10402.0,9380.0
Aland Islands,ALA,12.0,10.0,10.0
Kuwait,KWT,9836.0,6642.0,5924.0
Suriname,SUR,6393.0,2908.0,2531.0
Netherlands,NLD,317476.0,175905.0,158256.0
Germany,DEU,519668.0,269331.0,245923.0
Belarus,BLR,2738.0,1529.0,1411.0
Oman,OMN,19369.0,13914.0,13030.0
Pakistan,PAK,42241.0,28269.0,26694.0
Republic of the Congo,COG,35553.0,7227.0,6446.0
Guatemala,GTM,823108.0,605597.0,520688.0
Sweden,SWE,17275.0,8225.0,7470.0
South Africa,ZAF,150708.0,80965.0,74214.0
Guyana,GUY,4415.0,1872.0,1621.0
Sierra Leone,SLE,2971.0,1206.0,1104.0
Switzerland,CHE,79371.0,33121.0,30015.0
Guernsey,GGY,204.0,110.0,97.0
Taiwan,TWN,33381.0,14802.0,13238.0
Eritrea,ERI,53.0,27.0,23.0
Malta,MLT,2043.0,1189.0,1088.0
Jersey,JEY,290.0,186.0,174.0
Cyprus,CYP,38493.0,32339.0,30547.0
Lebanon,LBN,112285.0,94800.0,83500.0
Kyrgyzstan,KGZ,11200.0,3071.0,2747.0
Faroe Islands,FRO,264.0,137.0,121.0
Cabo Verde,CPV,879.0,462.0,411.0
Mauritius,MUS,19012.0,3935.0,3378.0
Dominican Republic,DOM,37624.0,25224.0,22567.0
South Korea,KOR,23550.0,9957.0,9211.0
Anguilla,AIA,140.0,96.0,90.0
Malaysia,MYS,222740.0,144191.0,122693.0
Belgium,BEL,65168.0,29704.0,27686.0
Trinidad and Tobago,TTO,11108.0,6338.0,5770.0
Tunisia,TUN,167859.0,150592.0,136515.0
Portugal,PRT,11787.0,6672.0,6040.0
Croatia,HRV,21297.0,14628.0,13129.0
Vatican,VAT,1.0,1.0,1.0
Kazakhstan,KAZ,14257.0,5878.0,5352.0
Chad,TCD,6337.0,1469.0,1269.0
Sao Tome and Principe,STP,23324.0,607.0,333.0
French Polynesia,PYF,2766.0,509.0,448.0
Malawi,MWI,7566.0,3333.0,2971.0
Tanzania,TZA,23580.0,9437.0,8459.0
Tajikistan,TJK,1228.0,393.0,364.0
Bulgaria,BGR,8639.0,5650.0,5260.0
Singapore,SGP,244741.0,145675.0,119931.0
Somalia,SOM,2692.0,1886.0,1766.0
Bahamas,BHS,3923.0,3016.0,2793.0
Sudan,SDN,15489.0,9348.0,8693.0
Bangladesh,BGD,23157.0,12563.0,11737.0
Slovenia,SVN,2531.0,1339.0,1234.0
Saudi Arabia,SAU,20228.0,14827.0,13602.0
